Quantity,Part Number,Part Reference,Value,Description,Manufacturer Name,Manufacturer Part Number
1,,D1,"5V,RGB_RED,LED",,,
1,,D3,"5V,RGB_RED,LED",,,
1,,D4,"5V,RGB_RED,LED",,,
1,,D5,"5V,RGB_RED,LED",,,
1,,D6,"5V,RGB_RED,LED",,,
1,,D7,"5V,RGB_RED,LED",,,
1,,D8,"5V,RGB_RED,LED",,,
1,,D9,"5V,RGB_RED,LED",,,
1,,D10,"5V,RGB_RED,LED",,,
1,,D11,"5V,RGB_RED,LED",,,
1,,D12,"5V,RGB_RED,LED",,,
1,,D13,"5V,RGB_RED,LED",,,
1,,D14,"5V,RGB_RED,LED",,,
1,,D15,"5V,RGB_RED,LED",,,
1,,D16,"5V,RGB_RED,LED",,,
1,,D17,"5V,RGB_RED,LED",,,
1,,D18,"5V,RGB_RED,LED",,,
1,,D19,"5V,RGB_RED,LED",,,
1,,D20,"5V,RGB_RED,LED",,,
1,,D21,"5V,RGB_RED,LED",,,
1,,D22,"5V,RGB_RED,LED",,,
1,,D23,"5V,RGB_RED,LED",,,
1,,D24,"5V,RGB_RED,LED",,,
1,,D25,"5V,RGB_RED,LED",,,
1,,D26,"5V,RGB_RED,LED",,,
1,,D27,"5V,RGB_RED,LED",,,
1,,D28,"5V,RGB_RED,LED",,,
1,,D29,"5V,RGB_RED,LED",,,
1,,D30,"5V,RGB_RED,LED",,,
1,,D31,"5V,RGB_RED,LED",,,
1,,D32,"5V,RGB_RED,LED",,,
1,,D33,"5V,RGB_RED,LED",,,
1,,D34,"5V,RGB_RED,LED",,,
1,,D35,"5V,RGB_RED,LED",,,
1,,D36,"5V,RGB_RED,LED",,,
1,,D37,"5V,RGB_RED,LED",,,
1,,D38,"5V,RGB_RED,LED",,,
1,,D39,"5V,RGB_RED,LED",,,
1,,D40,"5V,RGB_RED,LED",,,
1,,D41,"5V,RGB_RED,LED",,,
1,,D42,"5V,RGB_RED,LED",,,
1,,D43,"5V,RGB_RED,LED",,,
1,,D44,"5V,RGB_RED,LED",,,
1,,D45,"5V,RGB_RED,LED",,,
1,,D46,"5V,RGB_RED,LED",,,
1,,D47,"5V,RGB_RED,LED",,,
1,,D48,"5V,RGB_RED,LED",,,
1,,D49,"5V,RGB_RED,LED",,,
1,,D50,"5V,RGB_RED,LED",,,
1,,D51,"5V,RGB_RED,LED",,,
1,,D52,"5V,RGB_RED,LED",,,
1,,D53,"5V,RGB_RED,LED",,,
1,,D54,"5V,RGB_RED,LED",,,
1,,D55,"5V,RGB_RED,LED",,,
1,,D56,"5V,RGB_RED,LED",,,
1,,D57,"5V,RGB_RED,LED",,,
1,,D58,"5V,RGB_RED,LED",,,
1,,D59,"5V,RGB_RED,LED",,,
1,,D60,"5V,RGB_RED,LED",,,
1,,D61,"5V,RGB_RED,LED",,,
1,,D62,"5V,RGB_RED,LED",,,
1,,D63,"5V,RGB_RED,LED",,,
1,,D64,"5V,RGB_RED,LED",,,
1,,D65,"5V,RGB_RED,LED",,,
1,,D66,"5V,RGB_RED,LED",,,
1,,R2,5k,,,
1,,R3,10k,,,
1,,R4,5k,,,
1,,R5,1k,,,
1,,R6,1k,,,
1,,R7,1k,,,
1,,R8,1k,,,
1,,R9,1k,,,
1,,R10,1k,,,
1,,R11,1k,,,
1,,R12,1k,,,
1,,R13,1k,,,
1,,R15,1k,,,
1,,R16,1k,,,
1,,R17,2k,,,
1,,R18,3k,,,
1,,R19,4k,,,
1,,R20,5k,,,
1,,R21,6k,,,
1,,R22,1k,,,
1,,R24,1k,,,
1,,R25,1k,,,
1,,R26,1k,,,
1,,R27,1k,,,
1,,R28,1k,,,
1,,R29,1k,,,
1,,R30,1k,,,
1,,R31,1k,,,
1,,R32,1k,,,
1,,R33,1k,,,
1,,R34,1k,,,
1,,R35,1k,,,
1,,R36,1k,,,
1,,R37,1k,,,
1,,R38,1k,,,
1,,R39,1k,,,
1,,R40,1k,,,
1,,R41,1k,,,
1,,R42,1k,,,
1,,R43,1k,,,
1,,R44,1k,,,
1,,R45,1k,,,
1,,R46,1k,,,
1,,R47,1k,,,
1,,R48,1k,,,
1,,R49,1k,,,
1,,R50,1k,,,
1,,R51,1k,,,
1,,R52,1k,,,
1,,R53,1k,,,
1,,R54,1k,,,
1,,R55,1k,,,
1,,R56,1k,,,
1,,R57,1k,,,
1,,R58,1k,,,
1,,R59,1k,,,
1,,R60,1k,,,
1,,R61,1k,,,
1,,R62,1k,,,
1,,R63,1k,,,
1,,R64,1k,,,
1,,R65,1k,,,
1,,R66,1k,,,
1,,R67,1k,,,
1,,R68,1k,,,
1,,R69,1k,,,
1,,R70,1k,,,
1,,R71,1k,,,
1,,R72,1k,,,
1,,R73,1k,,,
1,,R74,1k,,,
1,,R75,1k,,,
1,,R76,1k,,,
1,,R77,1k,,,
1,,R78,1k,,,
1,,R79,1k,,,
1,,R80,1k,,,
1,,R81,1k,,,
1,,R82,1k,,,
1,,R83,1k,,,
1,,R84,1k,,,
1,,R85,1k,,,
1,,R86,1k,,,
1,,R87,1k,,,
1,,R88,1k,,,
1,,U2,74HC595,,,
1,,U3,74HC595,,,
1,,U4,74HC595,,,
1,,U5,74HC595,,,
1,,U6,74HC595,,,
1,,U7,74HC595,,,
1,,U8,74HC595,,,
1,,U9,74HC595,,,
1,,U10,74HC595,,,
